filename,url,ground_truth_topic
article_001.pdf,https://www.cnbc.com/2026/06/23/meta-glasses-are-new-smart-glasses-starting-at-299.html,Technology
article_002.pdf,https://www.cnbc.com/2026/06/23/googles-online-dominance-is-showing-signs-of-cracking-in-ai-era.html,Technology
article_003.pdf,https://www.cnbc.com/2026/06/23/ai-memory-startup-focused-on-cutting-token-costs-raises-98-million.html,Technology
article_004.pdf,https://www.cnbc.com/2026/06/23/oracle-ai-job-cuts-layoffs-21000.html,Technology
article_005.pdf,https://www.cnbc.com/2026/06/22/spacex-ai-colossus-data-center-reflection.html,Technology
article_014.pdf,https://www.nbcnews.com/politics/politics-news/congress-brink-rare-bipartisan-victory-politics-desk-rcna351248,Politics
article_015.pdf,https://www.nbcnews.com/politics/2026-election/zohran-mamdanis-clout-double-trump-endorsement-line-tuesdays-primaries-rcna351120,Politics
article_016.pdf,https://apnews.com/article/iran-war-costs-trump-senate-hegseth-4648071a31afceaa55638c69ea021fd8,Politics
article_017.pdf,https://apnews.com/article/south-carolina-primary-governor-evette-wilson-6df5a35cf20af9ee1e0453192017f17a,Politics
article_018.pdf,https://apnews.com/article/nyc-house-congress-primary-election-2dfee173b65643be516574440f8c5d90,Politics
article_024.pdf,https://www.cnbc.com/2026/06/18/california-ipo-tax-windfall.html,Business
article_025.pdf,https://www.cnbc.com/2026/06/22/lucid-layoffs-evs.html,Business
article_026.pdf,https://www.cnbc.com/2026/06/22/ups-healthcare-logistics-investment.html,Business
article_027.pdf,https://www.cnbc.com/2026/06/22/nvidias-stock-struggles-as-kalshi-traders-bet-chip-prices-are-coming-down.html,Business
article_028.pdf,https://www.cnbc.com/2026/06/22/tuesdays-big-stock-stories-whats-likely-to-move-the-market.html,Business
article_037.pdf,https://www.espn.com/tennis/story/_/id/49145316/former-wimbledon-champ-marketa-vondrousova-suspended-doping,Sports
article_038.pdf,https://www.espn.com/golf/story/_/id/49139451/rory-mcilroy-focus-links-golf-us-open-struggless,Sports
